"This Version is available at:",""
"https://hdl.handle.net/10419/199552",""
"Standard-Nutzungsbedingungen:","Terms of use:"
"Die Dokumente auf EconStor dürfen zu eigenen wissenschaftlichen","Documents in EconStor may be saved and copied for your personal"
"Zwecken und zum Privatgebrauch gespeichert und kopiert werden.","and scholarly purposes."
"Sie dürfen die Dokumente nicht für öffentliche oder kommerzielle","You are not to copy documents for public or commercial purposes, to"
"Zwecke vervielfältigen, öffentlich ausstellen, öffentlich zugänglich","exhibit the documents publicly, to make them publicly available on the"
"machen, vertreiben oder anderweitig nutzen.","internet, or to distribute or otherwise use the documents in public."
"Sofern die Verfasser die Dokumente unter Open-Content-Lizenzen","If the documents have been made available under an Open Content"
"(insbesondere CC-Lizenzen) zur Verfügung gestellt haben sollten,","Licence (especially Creative Commons Licences), you may exercise"
"gelten abweichend von diesen Nutzungsbedingungen die in der dort","further usage rights as specified in the indicated licence."
"genannten Lizenz gewährten Nutzungsrechte.",""
