"","Table 9: SOF effects on expenditure, according to IV and RE","","","","",""
"","","IV","","","RE",""
"Variables","","","","","",""
"","Effect","","SD of CG","Change","","SD of BL"
"","4,79","","0,12","-3.43","","-0.09"
"Total household per capita expenditure  (USD ppp)","","","","","",""
"","(6,03)","","","(2.45)","",""
"Total per capita expenditure on financial services (USD","-0,80","","-0,09","-1.78**","","-0.14**"
"ppp)","(1,02)","","","(0.72)","",""
"","-0,04","","-0,05","0.07","","0.12"
"Total per capita expenditure on housing  (USD ppp)","","","","","",""
"","(0,09)","","","(0.05)","",""
"","-0,81","","-0,23","-0.68**","","-0.11**"
"Total per capita expenditure on cleaning items (USD ppp)","","","","","",""
"","(0,57)","","","(0.33)","",""
"","-0,85**","","-0,38**","0.92***","","0.46***"
"Total per capita expenditure on clothing (USD ppp)","","","","","",""
"","(0,41)","","","(0.16)","",""
"Total per capita monthly expenditure on entertainment and","1,00","","0,34","0.72**","","0.24**"
"leisure (USD ppp)","(0,68)","","","(0.34)","",""
"","-2,07*","","-0,19*","0.44","","0.05"
"Total per capita expenditure on transportation (USD ppp)","","","","","",""
"","(1,21)","","","(0.62)","",""
"","0,13","","0,02","-2.71***","","-0.28***"
"Total per capita expenditure on education (USD ppp)","","","","","",""
"","(0,84)","","","(0.53)","",""
"","-0,55","","-0,11","2.34***","","0.78***"
"Total per capita expenditure on public services (USD ppp)","","","","","",""
"","(0,67)","","","(0.24)","",""
"","0,33","","0,04","1.25*","","0.17*"
"Total per capita expenditure on health (USD ppp)","","","","","",""
"","(1,25)","","","(0.65)","",""
"","-1,10","","-0,05","2.84**","","0.14**"
"Total per capita expenditure on food (USD ppp)","","","","","",""
"","(2,80)","","","(1.20)","",""
"Observations","1005","","","854","",""
"Standard errors in brackets, ***p<0.01, ** p<0.05 * p<0.1","","","","","",""
