"","Table 7: SOF effects on income (all values in USD ppp), according to IV and RE","","","","",""
"","","IV","","","ER",""
"Variables","Effect","","SD of CG","Effects","","SD of BL"
"Households’ per capita total","-4,89","","-0,12","7.09***","","0.17***"
"monthly income","","","","","",""
"","(4,96)","","","(2.41)","",""
"Non-farming per capita monthly","-10,65**","","-0,31**","2.34","","0.06"
"income","","","","","",""
"","(4,35)","","","(2.08)","",""
"Farming related per capita","4,52*","","0,24*","3.45***","","0.15***"
"monthly income","","","","","",""
"","(2,52)","","","(1.33)","",""
"Social aid related monthly per","4,28**","","0,30**","1.99***","","0.15***"
"capita income","","","","","",""
"","(1,82)","","","(0.69)","",""
"Participants’ total monthly labor","21,35**","","0,23**","19.75***","","0.27***"
"income","","","","","",""
"","(9,52)","","","(4.90)","",""
"Participants’ monthly labor","13,85*","","0,21*","9.98**","","0.19**"
"income from paid work","","","","","",""
"","(7,57)","","","(4.17)","",""
"Participants’ monthly income","7,50","","0,11","9.77***","","0.18***"
"from independent work","","","","","",""
"","(6,20)","","","(3.42)","",""
"Observations","1005","","","854","",""
"Standard errors in brackets, ***p<0.01, ** p<0.05 * p<0.1","","","","","",""
