"","Table 6: SOF effects on households’ assets, according to IV and RE","","","","",""
"","","","IV","","","RE"
"","Variables","","","Effect","","Change"
"","","Effect","","","Change",""
"","","","","SD of CG","","SD of BL"
"","Total value of the households’ assets (USD","633,63*","","0,31*","760.33***","0.42***"
"ppp)","","(342,10)","","","(78.76)",""
"","Total value of households’ non-perishable","22,78","","0,03","92.91**","0.14**"
"goods (USD ppp)","","(114,18)","","","(36.65)",""
"","Total value of animals in the households (USD","412,63*","","0,28*","493.20***","0.40***"
"ppp)","","(232,43)","","","(51.35)",""
"","Total value of the households’ productive","14,55","","0,05","5.79","0.02"
"assets (USD ppp)","","(47,06)","","","(16.47)",""
"","Total value of productive infrastructure (USD","183,68**","","1,38***","169.00***","1.10***"
"ppp)","","(37,89)","","","(15.04)",""
"Observations","","1005","","","854",""
"Standard errors in brackets, ***p<0.01, ** p<0.05 * p<0.1","","","","","",""
