"","Table 11: Impact of SOF on empowerment variables, according to IV and RE","","","","",""
"","","IV","","","RE",""
"Variables","","","","","",""
"","Effect","","SD of CG","Change","","SD of BL"
"","4.30*","","0.28*","0.38","","0.03"
"Empowerment scale- ESAGE","","","","","",""
"","(2.55)","","","(0.98)","",""
"","4.53","","0.19","0.78","","0.03"
"Decision-making index","","","","","",""
"","(3.61)","","","(1.15)","",""
"Gender roles scale","3.73*","","0.33*","1.30*","","0.10*"
"","(1.96)","","","(0.76)","",""
"E
xpectativas a 2 años","1005","","","854","",""
"Standard errors in brackets, ***p<0.01, ** p<0.05 * p<0.1","","","","","",""
