"Serie Documentos Cede, 2019-19",""
"ISSN 1657-7191 Edición electrónica.",""
"Mayo de 2019",""
"© 2019, Universidad de los Andes, Facultad de Economía,",""
"CEDE. Calle 19A No. 1 – 37 Este, Bloque W.",""
"Bogotá, D. C., Colombia Teléfonos: 3394949- 3394999,",""
"extensiones 2400, 2049, 2467",""
"infocede@uniandes.edu.co",""
"http://economia.uniandes.edu.co",""
"Impreso en Colombia – Printed in Colombia",""
"La serie de Documentos de Trabajo CEDE se circula con",""
"propósitos  de  discusión  y  divulgación.  Los  artículos  no",""
"han sido evaluados  por pares ni sujetos a ningún  tipo de",""
"evaluación formal por parte del equipo de trabajo del CEDE.",""
"El  contenido  de","la  presente  publicación  se  encuentra"
"protegido  por 
las  normas","internacionales  y  nacionales"
"vigentes 
sobre 
propiedad 
intelectual, 
por","tanto 
su"
"utilización, 
reproducción, 
comunicación","pública,"
"transformación, 
distribución, 
alquiler,","préstamo"
"público e importación, total o parcial, en todo o en parte, en",""
"formato impreso, digital o en cualquier formato conocido o por",""
"conocer, se encuentran prohibidos, y sólo serán lícitos en",""
"la  medida  en  que  se  cuente  con  la  autorización  previa  y",""
"expresa  por  escrito  del  autor  o  titular.  Las  limitaciones  y",""
"excepciones  al  Derecho  de  Autor,  sólo  serán  aplicables",""
"en  la  medida  en  que  se  den  dentro  de  los  denominados",""
"Usos  Honrados  (Fair  use),  estén  previa  y  expresamente",""
"establecidas,  no  causen  un  grave  e  injustificado  perjuicio",""
"a  los  intereses  legítimos  del  autor  o  titular,  y  no  atenten",""
"contra la normal explotación de la obra.",""
"Universidad de los Andes | Vigilada Mineducación",""
"Reconocimiento como Universidad: Decreto 1297 del 30 de mayo de",""
"1964. Reconocimiento personería jurídica: Resolución 28 del 23 de",""
"febrero de 1949 Minjusticia.",""
