"","Table 8: SOF effects on savings, according to IV and RE","","","","",""
"","","IV","","","RE",""
"Variables","","","","","",""
"","Effect","","SD of CG","Change","","SD of BL"
"","-0,01","","-0,13","-6.32***","","-0.24***"
"Probability of saving- formal (%)","","","","","",""
"","(0,02)","","","(0.01)","",""
"Probability of saving- informal,","0,14***","","0,82***","4.68*","","0.13*"
"Total (%)","(0,05)","","","(0.02)","",""
"","-0,03*","","-0,14*","-3.04***","","-0.15***"
"Probability of saving- in-kind (%)","","","","","",""
"","(0,02)","","","(0.01)","",""
"","0,13***","","0,69***","-0.70","","-0.02"
"Probability of saving- cash (%)","","","","","",""
"","(0,05)","","","(0.03)","",""
"","0,10**","","0,39**","-2.81","","-0.07"
"Probability of saving – total (%)","","","","","",""
"","(0,05)","","","(0.03)","",""
"","1,56","","0,10","-5.32**","","-0.13**"
"Value of formal savings (USD ppp)","","","","","",""
"","(3,87)","","","(2.16)","",""
"","7,98","","0,31","16.04***","","0.35***"
"Value of informal savings (USD ppp)","","","","","",""
"","(8,85)","","","(4.68)","",""
"","69,00","","0,11","-34.34","","-0.05"
"Value of in-kind savings (USD ppp)","","","","","",""
"","(90,75)","","","(49.13)","",""
"","9,54","","0,27","10.78**","","0.18**"
"Value of cash savings (USD ppp)","","","","","",""
"","(9,65)","","","(5.04)","",""
"Observations","1,005","","","854","",""
"Standard errors in brackets, ***p<0.01, ** p<0.05 * p<0.1","","","","","",""
